year,teams,id,teams-href
2018,DC Breeze,5752581510922240,http://www.ultianalytics.com/app/#/5752581510922240/players
2018,Seattle Cascades,5083432317091840,http://www.ultianalytics.com/app/#/5083432317091840/players
2018,Tampa Bay Cannons,5764371196149760,http://www.ultianalytics.com/app/#/5764371196149760/players
2018,Minnesota Wind Chill,5190153664462848,http://www.ultianalytics.com/app/#/5190153664462848/players
2018,San Diego Growlers,5642413183860736,http://www.ultianalytics.com/app/#/5642413183860736/players
2018,Philadelphia Phoenix,5687270359171072,http://www.ultianalytics.com/app/#/5687270359171072/players
2018,Madison Radicals,5632919561306112,http://www.ultianalytics.com/app/#/5632919561306112/players
2018,Dallas Roughnecks,5688183576592384,http://www.ultianalytics.com/app/#/5688183576592384/players
2018,New York Empire,5639193434783744,http://www.ultianalytics.com/app/#/5639193434783744/players
2018,San Francisco FlameThrowers,5717396199309312,http://www.ultianalytics.com/app/#/5717396199309312/players
2018,Toronto Rush,5723660543328256,http://www.ultianalytics.com/app/#/5723660543328256/players
2018,Atlanta Hustle,5674770125291520,http://www.ultianalytics.com/app/#/5674770125291520/players
2018,Los Angeles Aviators,5657507175333888,http://www.ultianalytics.com/app/#/5657507175333888/players
2018,Nashville NightWatch,5765616870883328,http://www.ultianalytics.com/app/#/5765616870883328/players
2018,Montreal Royal,5750003591020544,http://www.ultianalytics.com/app/#/5750003591020544/players
2018,Pittsburgh Thunderbirds,5646382270513152,http://www.ultianalytics.com/app/#/5646382270513152/players
2018,Detroit Mechanix,5683734527344640,http://www.ultianalytics.com/app/#/5683734527344640/players
2018,Austin Sol,5713040162947072,http://www.ultianalytics.com/app/#/5713040162947072/players
2018,San Jose Spiders,5630548068270080,http://www.ultianalytics.com/app/#/5630548068270080/players
2018,Raleigh Flyers,5136318262673408,http://www.ultianalytics.com/app/#/5136318262673408/players
2018,Ottawa Outlaws,5725028758847488,http://www.ultianalytics.com/app/#/5725028758847488/players
2018,Chicago Wildfire,5753103617884160,http://www.ultianalytics.com/app/#/5753103617884160/players
2018,Indianapolis AlleyCats,5760473244893184,http://www.ultianalytics.com/app/#/5760473244893184/players
